Date,Tier,OTM,ShortOTM,LongOTM,Safety,Premium,PnL,DaysHeld,Result,Risk,Side,VIX,ATR,Score,Size,Week,WeekCap,Year,Regime,date,score,bias,close,ema20,Anchor_Signal,Action,Filtered_PnL
2016-04-12,Cautious,650,650,850,100.0,40,16.0,5,WIN,160.0,Bull Put,16.02,53.1,0,1.5,2016_15,300.0,2016,elevated,2016-04-12,2,BULL BIAS,7709.15,7598.479926715617,BULL,TRADE,16.0
2016-04-20,Wednesday-MW,600,600,800,100.0,50,24.0,5,WIN,150.0,Bull Put,17.08,62.0,0,0.75,2016_16,300.0,2016,elevated,2016-04-20,4,STRONG BULL,7919.3,7675.148365980176,BULL,TRADE,24.0
2016-04-21,Normal,550,550,750,99.9,60,31.0,5,WIN,140.0,Bull Put,16.51,64.3,1,1.5,2016_16,300.0,2016,elevated,2016-04-21,4,STRONG BULL,7897.0,7696.277093029683,BULL,TRADE,31.0
2016-04-25,Normal,550,550,750,99.9,60,31.0,5,WIN,140.0,Bull Put,16.57,64.7,0,1.5,2016_17,300.0,2016,elevated,2016-04-25,4,STRONG BULL,7864.85,7730.105738285069,NEUTRAL,TRADE,31.0
2016-04-26,Normal,550,550,750,99.7,60,31.0,7,WIN,140.0,Bull Put,16.58,70.9,0,1.5,2016_17,300.0,2016,elevated,2016-04-26,4,STRONG BULL,7955.4,7751.562334638871,NEUTRAL,TRADE,31.0
2016-05-02,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,17.09,76.7,0,1.5,2016_18,300.0,2016,elevated,2016-05-02,2,BULL BIAS,7807.15,7788.5909313119155,NEUTRAL,TRADE,31.0
2016-05-03,Cautious,650,650,850,99.7,40,16.0,5,WIN,160.0,Bull Put,17.46,82.3,1,1.5,2016_18,300.0,2016,elevated,2016-05-03,1,NEUTRAL,7742.75,7784.225128329828,NEUTRAL,TRADE,16.0
2016-05-09,Normal,550,550,750,98.8,60,31.0,5,WIN,140.0,Bull Put,16.61,82.7,0,1.5,2016_19,300.0,2016,elevated,2016-05-09,2,BULL BIAS,7868.55,7778.484367362732,NEUTRAL,TRADE,31.0
2016-05-10,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,16.42,81.0,0,1.5,2016_19,300.0,2016,elevated,2016-05-10,2,BULL BIAS,7889.9,7789.095379994853,BULL,TRADE,31.0
2016-05-16,Normal,550,550,750,98.4,60,31.0,6,WIN,140.0,Bull Put,17.03,85.9,0,1.5,2016_20,300.0,2016,elevated,2016-05-16,0,NEUTRAL,7859.3,7811.3712039546745,NEUTRAL,TRADE,31.0
2016-05-17,Normal,550,550,750,98.5,60,31.0,6,WIN,140.0,Bull Put,16.37,85.6,0,1.5,2016_20,300.0,2016,elevated,2016-05-17,0,NEUTRAL,7887.5,7818.621565482801,BULL,TRADE,31.0
2016-05-23,Normal,550,550,750,98.4,60,31.0,5,WIN,140.0,Bull Put,16.16,86.4,0,1.5,2016_21,300.0,2016,elevated,2016-05-23,-1,NEUTRAL,7729.35,7804.876611264259,BEAR,TRADE,31.0
2016-05-24,Normal,550,550,750,98.7,60,31.0,5,WIN,140.0,Bull Put,16.22,83.5,0,1.5,2016_21,300.0,2016,elevated,2016-05-24,-1,NEUTRAL,7759.9,7800.593124477187,BEAR,TRADE,31.0
