Date,Tier,Side,Entry,ShortStrike,OTM,HoldDays,ActualBars,Safety%,VIX,ATR,Score,ClosestApproach,ClosestDay,CloseBreached,CloseBDay,IntradayBreached,IntradayBDay,Week,Risk,Year
2016-04-12,Cautious,Bull Put,7709.1,7059.1,650,7,7,100.0,16.02,53.1,0,713.9,1,False,,False,,2016_15,160.0,2016
2016-04-20,Wednesday-MW,Bull Put,7919.3,7319.3,600,7,7,100.0,17.08,62.0,0,469.8,7,False,,False,,2016_16,150.0,2016
2016-04-21,Normal,Bull Put,7897.0,7347.0,550,7,7,99.9,16.51,64.3,1,430.8,7,False,,False,,2016_16,140.0,2016
2016-04-25,Normal,Bull Put,7864.9,7314.9,550,7,7,99.9,16.57,64.7,0,382.8,7,False,,False,,2016_17,140.0,2016
2016-04-26,Normal,Bull Put,7955.4,7405.4,550,7,7,99.7,16.58,70.9,0,292.2,6,False,,False,,2016_17,140.0,2016
2016-05-02,Normal,Bull Put,7807.1,7257.1,550,7,7,99.3,17.09,76.7,0,421.6,4,False,,False,,2016_18,140.0,2016
2016-05-03,Cautious,Bull Put,7742.8,7092.8,650,7,7,99.7,17.46,82.3,1,586.0,3,False,,False,,2016_18,160.0,2016
2016-05-09,Normal,Bull Put,7868.6,7318.6,550,7,7,98.8,16.61,82.7,0,453.8,5,False,,False,,2016_19,140.0,2016
2016-05-10,Normal,Bull Put,7889.9,7339.9,550,7,7,99.0,16.42,81.0,0,427.2,7,False,,False,,2016_19,140.0,2016
2016-05-16,Normal,Bull Put,7859.3,7309.3,550,7,7,98.4,17.03,85.9,0,406.6,6,False,,False,,2016_20,140.0,2016
2016-05-17,Normal,Bull Put,7887.5,7337.5,550,7,7,98.5,16.37,85.6,0,378.4,5,False,,False,,2016_20,140.0,2016
2016-05-23,Normal,Bull Put,7729.4,7179.4,550,7,7,98.4,16.16,86.4,0,536.5,1,False,,False,,2016_21,140.0,2016
2016-05-24,Normal,Bull Put,7759.9,7209.9,550,7,7,98.7,16.22,83.5,0,601.9,1,False,,False,,2016_21,140.0,2016
2016-05-31,Normal,Bull Put,8160.6,7610.6,550,7,7,97.9,16.05,89.9,1,545.8,2,False,,False,,2016_22,140.0,2016
2016-06-01,Wednesday-MW,Bull Put,8180.2,7580.2,600,7,7,99.1,15.84,87.4,1,576.1,1,False,,False,,2016_22,150.0,2016
2016-06-06,Monday-RW,Bull Put,8205.5,7605.5,600,7,7,99.5,15.36,81.4,0,458.5,5,False,,False,,2016_23,155.0,2016
2016-06-07,Normal,Bull Put,8264.6,7714.6,550,7,7,98.9,14.87,81.9,1,349.4,4,False,,False,,2016_23,140.0,2016
2016-06-14,Normal,Bull Put,8111.6,7561.6,550,7,7,98.9,17.19,81.4,1,512.9,2,False,,False,,2016_24,140.0,2016
2016-06-15,Wednesday-MW,Bull Put,8199.4,7599.4,600,7,7,99.4,17.06,82.9,1,328.0,7,False,,False,,2016_24,150.0,2016
2016-06-20,Normal,Bull Put,8235.2,7685.2,550,7,7,98.2,17.52,87.9,0,242.1,4,False,,False,,2016_25,140.0,2016
2016-06-21,Normal,Bull Put,8208.4,7658.4,550,7,7,98.5,17.26,85.5,0,269.0,3,False,,False,,2016_25,140.0,2016
2016-06-27,Normal,Bull Put,8092.2,7542.2,550,7,7,95.7,18.53,102.9,1,549.4,1,False,,False,,2016_26,140.0,2016
2016-06-28,Normal,Bull Put,8127.1,7577.1,550,7,7,96.3,17.73,99.4,0,580.7,1,False,,False,,2016_26,140.0,2016
2016-07-04,Monday-RW,Bull Put,8370.4,7770.4,600,7,7,98.3,15.58,95.0,1,517.2,3,False,,False,,2016_27,155.0,2016
2016-07-05,Normal,Bull Put,8329.6,7779.6,550,7,7,97.5,15.36,92.5,1,508.0,2,False,,False,,2016_27,140.0,2016
2016-07-12,Normal,Bull Put,8516.1,7966.1,550,7,7,98.0,14.78,89.1,1,510.8,5,False,,False,,2016_28,140.0,2016
2016-07-13,Normal,Bull Put,8504.8,7954.8,550,7,7,98.4,15.33,86.2,2,522.2,4,False,,False,,2016_28,140.0,2016
2016-07-18,Monday-RW,Bull Put,8497.4,7897.4,600,7,7,99.2,15.99,85.5,1,579.6,1,False,,False,,2016_29,155.0,2016
2016-07-19,NarrowCondor,Bull Put,8535.4,8135.4,400,7,7,92.9,15.8,83.8,1,354.9,3,False,,False,,2016_29,180.0,2016
2016-07-19,NarrowCondor,Bear Call,8535.4,8935.4,400,7,7,92.9,15.8,83.8,1,261.8,7,False,,False,,2016_29,180.0,2016
2016-07-25,Monday-RW,Bull Put,8630.4,8030.4,600,7,7,99.4,15.72,82.9,1,499.5,7,False,,False,,2016_30,155.0,2016
2016-07-26,Normal,Bull Put,8584.7,8034.7,550,7,7,98.9,15.62,81.8,0,483.6,7,False,,False,,2016_30,140.0,2016
2016-08-01,Monday-RW,Bull Put,8647.1,8047.1,600,7,7,99.5,15.18,81.1,0,471.2,3,False,,False,,2016_31,155.0,2016
2016-08-02,Normal,Bull Put,8627.6,8077.6,550,7,7,99.0,15.69,80.7,0,440.7,2,False,,False,,2016_31,140.0,2016
2016-08-05,Near-VC,Bull Put,8679.3,7979.3,700,7,7,99.8,14.35,85.6,0,560.9,4,False,,False,,2016_31,120.0,2016
2016-08-08,Monday-RW,Bull Put,8700.2,8100.2,600,7,7,99.4,14.59,82.6,0,440.0,3,False,,False,,2016_32,155.0,2016
2016-08-09,NarrowCondor,Bull Put,8670.5,8270.5,400,7,7,93.1,14.54,83.1,0,269.7,2,False,,False,,2016_32,180.0,2016
2016-08-09,NarrowCondor,Bear Call,8670.5,9070.5,400,7,7,93.1,14.54,83.1,0,376.2,7,False,,False,,2016_32,180.0,2016
2016-08-16,NarrowCondor,Bull Put,8638.9,8238.9,400,7,7,92.7,14.18,84.4,0,342.1,5,False,,False,,2016_33,180.0,2016
2016-08-16,NarrowCondor,Bear Call,8638.9,9038.9,400,7,7,92.7,14.18,84.4,0,344.6,3,False,,False,,2016_33,180.0,2016
2016-08-22,Monday-RW,Bull Put,8626.9,8026.9,600,7,7,99.6,14.24,78.7,0,517.1,5,False,,False,,2016_34,155.0,2016
2016-08-23,NarrowCondor,Bull Put,8639.3,8239.3,400,7,7,94.9,13.9,77.4,0,304.7,4,False,,False,,2016_34,180.0,2016
2016-08-23,NarrowCondor,Bear Call,8639.3,9039.3,400,7,7,94.9,13.9,77.4,0,220.6,6,False,,False,,2016_34,180.0,2016
2016-08-29,Monday-RW,Bull Put,8619.2,8019.2,600,7,7,99.7,13.17,76.4,0,625.1,1,False,,False,,2016_35,155.0,2016
2016-08-30,Normal,Bull Put,8745.1,8195.1,550,7,7,99.0,13.02,80.3,0,558.9,1,False,,False,,2016_35,140.0,2016
2016-09-06,Normal,Bull Put,8944.2,8394.2,550,7,7,98.9,12.75,81.2,2,294.8,5,False,,False,,2016_36,140.0,2016
2016-09-07,Normal,Bull Put,8924.0,8374.0,550,7,7,99.1,13.15,79.4,2,315.0,4,False,,False,,2016_36,140.0,2016
2016-09-14,Normal,Bull Put,8739.2,8189.2,550,7,7,98.8,14.76,82.7,2,515.2,1,False,,False,,2016_37,140.0,2016
2016-09-15,NarrowCondor,Bull Put,8748.6,8348.6,400,7,7,94.1,14.68,80.1,1,366.5,7,False,,False,,2016_37,180.0,2016
2016-09-15,NarrowCondor,Bear Call,8748.6,9148.6,400,7,7,94.1,14.68,80.1,1,256.4,5,False,,False,,2016_37,180.0,2016
2016-09-19,Monday-RW,Bull Put,8809.0,8209.0,600,7,7,99.6,14.94,79.2,1,481.7,6,False,,False,,2016_38,155.0,2016
2016-09-20,Normal,Bull Put,8774.0,8224.0,550,7,7,99.3,14.78,77.6,1,335.1,7,False,,False,,2016_38,140.0,2016
2016-09-23,Near-VC,Bull Put,8825.1,8125.1,700,7,7,99.9,13.25,78.6,0,430.2,5,False,,False,,2016_38,120.0,2016
2016-09-27,NarrowCondor,Bull Put,8720.8,8320.8,400,7,7,93.9,14.25,80.6,0,234.6,3,False,,False,,2016_39,180.0,2016
2016-09-27,NarrowCondor,Bear Call,8720.8,9120.8,400,7,7,93.9,14.25,80.6,0,320.4,2,False,,False,,2016_39,180.0,2016
2016-10-03,VIX-Collapse,Bull Put,8740.2,8040.2,700,7,7,99.6,15.62,92.6,0,466.1,7,False,,False,,2016_40,100.0,2016
2016-10-04,Near-VC,Bull Put,8771.4,8071.4,700,7,7,99.7,14.99,89.3,0,435.0,6,False,,False,,2016_40,120.0,2016
2016-10-06,Cautious,Bull Put,8712.4,8062.4,650,7,7,99.4,14.84,89.8,0,444.0,5,False,,False,,2016_40,160.0,2016
2016-10-10,Monday-RW,Bull Put,8714.6,8114.6,600,7,7,99.2,14.29,84.9,0,391.8,3,False,,False,,2016_41,155.0,2016
2016-10-14,NarrowCondor,Bull Put,8586.5,8186.5,400,7,7,91.2,14.89,88.5,1,319.9,1,False,,False,,2016_41,180.0,2016
2016-10-14,NarrowCondor,Bear Call,8586.5,8986.5,400,7,7,91.2,14.89,88.5,1,250.1,6,False,,False,,2016_41,180.0,2016
2016-10-18,NarrowCondor,Bull Put,8667.7,8267.7,400,7,7,88.9,14.54,94.9,0,282.7,7,False,,False,,2016_42,180.0,2016
2016-10-18,NarrowCondor,Bear Call,8667.7,9067.7,400,7,7,88.9,14.54,94.9,0,331.4,4,False,,False,,2016_42,180.0,2016
2016-10-24,Monday-RW,Bull Put,8711.6,8111.6,600,7,7,99.2,14.33,85.8,1,364.5,7,False,,False,,2016_43,155.0,2016
2016-10-25,NarrowCondor,Bull Put,8692.9,8292.9,400,7,7,92.9,14.48,83.8,0,107.6,7,False,,False,,2016_43,180.0,2016
2016-10-25,NarrowCondor,Bear Call,8692.9,9092.9,400,7,7,92.9,14.48,83.8,0,423.4,4,False,,False,,2016_43,180.0,2016
